innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,innodb_stats_include_delete_marked,rpl_read_size,innodb_buffer_pool_instances,innodb_log_spin_cpu_abs_lwm,innodb_log_spin_cpu_pct_hwm,performance
2875168768,46,1,1,2851840,13858816,15296512,49152,98508800,44674048,0,1,7168,46569361,66,46.3
2897177600,11,0,1,9949184,4720640,41806848,21504,40098816,28410880,0,43,3072,626384795,57,39.96
2578590720,0,0,2,10791936,7616512,42259456,35840,69182464,3098624,1,49,2048,919040351,57,40.52
1746429952,36,1,1,13373440,9702400,62625792,15360,46482432,25035776,0,29,5120,27752699,81,39.39
1265517568,42,1,1,4506624,4409344,61745152,32768,13242368,14331904,0,29,2048,21049000,34,39.81
2041334784,45,1,1,10261504,3774464,3089408,25600,113993728,48965632,1,2,3072,498998070,24,39.51
2414666752,40,0,1,14064640,1575936,16940032,9216,107219968,13785088,0,53,2048,382548857,80,39.64
1752824832,38,1,2,988160,2956288,23365632,25600,53561344,27068416,0,3,7168,119268654,22,34.34
1180108800,0,0,0,9401344,13783040,11030528,20480,15352832,2529280,1,10,6144,188783747,86,33.63
2401159168,44,0,2,3886080,739328,9311232,17408,69135360,52193280,1,59,4096,849509224,35,35.66
2610404352,37,1,1,7186432,13118464,51939328,37888,58393600,41811968,0,62,6144,92128245,93,39.3
2713774080,33,0,1,4460544,10696704,38514688,34816,1525760,53217280,0,48,6144,465114810,14,39.22
1528628224,33,0,0,7763968,3414016,40883200,49152,7267328,36284416,1,51,3072,271092481,45,35.15
1146430464,17,0,2,4233216,11536384,38027264,13312,124089344,13795328,1,4,3072,193582140,74,34.03
3181456384,26,1,1,11455488,14023680,47643648,10240,118141952,38299648,0,32,5120,758923361,5,40.11
1754011648,34,1,2,1283072,6230016,51361792,30720,55223296,64462848,0,62,4096,386631938,17,35.09
219571200,0,0,2,2871296,15180800,64925696,16384,77649920,27097088,0,40,3072,339175537,33,40.18
1558548480,25,1,0,7502848,8708096,48923648,16384,133781504,44347392,0,5,4096,4148550785,7,33.21
1120270336,35,0,1,14821376,16087040,43023360,40960,59995136,52448256,1,26,5120,361122201,29,39.91
1136146432,47,1,2,11055104,5594112,56504320,41984,20042752,42930176,1,33,5120,813096694,70,34.96
2291410944,33,0,1,10317824,509952,40134656,16384,16120832,30502912,1,36,4096,38303310,77,40.69
2086979584,17,0,1,12411904,4345856,24710144,27648,76028928,57893888,0,23,4096,784316398,16,39.69
1503594496,18,1,1,6285312,14050304,18132992,21504,39752704,39535616,1,12,6144,554684665,68,39.85
2762411008,39,0,1,1178624,8619008,39641088,19456,62879744,62515200,0,50,5120,165946075,37,39.62
2235551744,40,1,1,5688320,15607808,242688,24576,98790400,7778304,1,3,3072,121663034,59,40.49
1958519808,25,0,1,831488,13580288,39315456,24576,38236160,56580096,0,61,3072,107491367,20,40.05
1715419136,25,0,1,7109632,755712,17267712,8192,97763328,32709632,0,30,5120,329554881,89,40.13
1915627520,17,0,1,5433344,1193984,21093376,26624,88834048,44935168,0,1,4096,1041074639,95,45.8
1665599488,41,0,1,12111872,16340992,45133824,19456,90366976,44497920,0,58,5120,517779946,1,39.32
1382028288,41,0,1,14437376,15628288,31524864,11264,107144192,3961856,1,46,7168,622152948,66,39.7
2901257216,20,1,2,12880896,14972928,34738176,40960,24887296,36571136,0,13,5120,947848915,89,35.38
2003942400,42,0,1,2651136,4487168,13020160,45056,119883776,18929664,1,24,4096,1323331821,2,40.05
1464978432,10,1,2,10273792,9888768,50844672,15360,101628928,34239488,0,20,6144,40362470,3,35.57
2238769152,27,1,1,620544,9078784,61583360,23552,118802432,19262464,1,56,2048,489958225,39,39.2
768354304,7,1,2,8436736,14142464,9062400,44032,99920896,55117824,0,40,4096,608250751,28,40.67
422108160,6,1,0,3216384,982016,18776064,48128,114781184,39656448,0,33,2048,328646872,67,40.77
2470234112,25,0,1,1832960,4323328,9487360,25600,116022272,32231424,1,29,4096,417810589,74,39.49
2528486400,31,0,1,2717696,15090688,4557824,26624,53274624,12450816,0,30,7168,1079254273,66,39.4
2352667648,21,0,0,14761984,4041728,632832,24576,69069824,998400,1,27,2048,291050626,87,33.65
2217609216,38,0,1,2511872,7445504,13519872,30720,59981824,1392640,0,28,7168,765620615,34,38.59
1109916672,23,0,1,12932096,16028672,18589696,5120,16438272,25623552,0,36,4096,536119076,42,44.8
2094303232,46,1,0,7363584,15436800,1874944,6144,9015296,63230976,0,27,7168,163502882,62,33.34
3008832512,39,1,0,4003840,813056,16920576,26624,122655744,41411584,1,47,5120,1597513481,10,34.36
300996608,16,1,0,7617536,5952512,10178560,12288,103801856,66385920,0,42,4096,449223380,45,39.85
3177810944,31,0,2,5702656,2064384,41355264,8192,116036608,33098752,0,10,6144,333423777,68,34.29
2010625024,43,0,0,14394368,4682752,3479552,43008,45787136,12055552,0,54,7168,304684006,26,34.03
677739520,29,1,0,10545152,8268800,7352320,48128,66743296,37018624,1,46,3072,1984106344,67,39.12
981707776,15,0,2,16761856,10126336,24468480,44032,111714304,21671936,0,19,2048,306251250,94,32.42
2899131392,42,1,2,15506432,1044480,7352320,3072,85289984,42186752,0,41,7168,203046442,91,34.9
589718528,17,0,2,12852224,5244928,39972864,35840,6894592,41783296,1,61,4096,159382688,7,39.94
246177792,49,0,2,1033216,6744064,58596352,8192,103818240,32523264,0,25,3072,528397910,93,40.2
182776832,21,1,2,15867904,1422336,18522112,10240,92248064,37149696,1,38,4096,189873863,65,40.09
286656512,7,0,0,15492096,16335872,21157888,3072,76574720,45065216,1,49,2048,264079791,74,40.95
220989440,7,1,0,5259264,245760,32278528,41984,105502720,62286848,1,53,2048,727342054,52,40.79
198322176,41,0,0,10650624,14653440,1523712,7168,79848448,44875776,1,26,3072,382180395,69,39.3
865029120,46,0,0,11807744,9216000,19293184,15360,65199104,33232896,0,31,6144,163990787,67,39.57
723557376,16,0,0,2849792,5161984,28085248,17408,74177536,36252672,1,35,7168,247848955,48,39.83
660403200,29,1,0,7114752,2271232,43025408,4096,31936512,28911616,1,25,6144,880377199,45,39.43
809009152,33,1,0,7134208,8512512,36088832,21504,77885440,4997120,1,16,6144,1425610459,19,39.75
788035584,10,0,2,636928,3753984,11967488,28672,86377472,15467520,0,49,2048,2212950150,3,40.5
130846720,18,0,0,14306304,9661440,64407552,48128,97152000,36392960,1,38,2048,10182340,66,38.65
1858298880,45,1,2,1069056,13318144,2278400,47104,1272832,53121024,1,19,6144,199512576,10,33.52
330036224,25,0,0,13890560,13252608,66856960,43008,96277504,26601472,1,53,3072,29573075,45,32.75
1942471680,19,1,0,8091648,9550848,10210304,36864,107589632,29095936,0,6,6144,226533065,16,33.29
